Country.x,Year,key,Government Education Expenditure,AMA.exchange.rate,IMF.based.exchange.rate,Population,Currency,Per.capita.GNI,X.Agriculture..hunting..forestry..fishing..ISIC.A.B..,Changes.in.inventories,Construction..ISIC.F.,Exports.of.goods.and.services,Final.consumption.expenditure,General.government.final.consumption.expenditure,Gross.capital.formation,Gross.fixed.capital.formation..including.Acquisitions.less.disposals.of.valuables.,Household.consumption.expenditure..including.Non.profit.institutions.serving.households.,Imports.of.goods.and.services,Manufacturing..ISIC.D.,X.Mining..Manufacturing..Utilities..ISIC.C.E..,Other.Activities..ISIC.J.P.,Total.Value.Added,X.Transport..storage.and.communication..ISIC.I..,X.Wholesale..retail.trade..restaurants.and.hotels..ISIC.G.H..,Gross.National.Income.GNI..in.USD,Gross.Domestic.Product..GDP.,Learning.Adjusted.Years.of.School
Estonia,2020,Estonia 2020,5.52696990966797,0.628878701357768,0.628878701357768,14.1002721198738, Euro ,10.0576668033838,20.281920612473,17.6382424406652,21.3580842606115,23.8020279605876,23.8190896657889,22.5965843012415,23.0084342465211,23.003770147797,23.4702533005207,23.8008524072858,22.1160707247688,22.3832744615284,23.2153258509748,24.0390775915892,22.0736504818082,22.0610211178726,24.1578976841532,24.1691304690153,11.719313
Eswatini,2010,Eswatini 2010,6.11837005615234,2.11880911436123,2.11880911436123,13.9107489170077, Lilangeni ,8.25088114470065,19.9265574720718,NA,18.8404749911653,21.4473025310461,22.2351831226575,20.6481633644411,20.2815924637436,20.2815924637436,22.0063556161567,21.6957596521443,21.0905881180799,21.1429602775452,20.9919501462519,22.1874466102201,19.2152878512545,20.3226814258356,22.1613492745711,22.213642046102,4.089244
Eswatini,2017,Eswatini 2017,6.17791414260864,2.66261909118789,2.66261909118789,13.9564813346222, Lilangeni ,8.1797604936999,19.7315773957958,NA,18.6605201879309,21.3731083577841,22.1079336599701,20.8250790669192,20.1518875353385,20.1518875353385,21.7832490277158,21.3906980286049,20.9949040794489,21.0337505989158,21.1087727452576,22.1578613012363,19.1242325432502,20.3128203101168,22.135841819708,22.2052171600075,5.74
Eswatini,2018,Eswatini 2018,5.73687362670898,2.65611888778527,2.65611888778527,13.9643003222994, Lilangeni ,8.22790983759748,19.8007476094107,NA,18.7185978418765,21.3580822056764,22.1427402267652,20.7943895564301,20.242150358338,20.242150358338,21.8420834309753,21.4498026736192,21.0268674565523,21.0711447218349,21.1610085444555,22.2131241380481,19.1936354983902,20.3980374656869,22.191971783885,22.2633833490476,4.5254297
Eswatini,2020,Eswatini 2020,5.36010456085205,2.86049977028943,2.86049977028943,13.9815807741722, Lilangeni ,8.01268092970684,19.6244852511171,NA,18.4569097170803,21.3047450918942,21.9822628720629,20.628183130968,20.0482276424385,20.0482276424385,21.6836077728829,21.2423350709958,20.777258091512,20.8581037116265,20.9921348870415,22.033011534231,19.217311037452,20.2017572614428,21.9939881222796,22.1027217307071,4.5254297
Ethiopia,2017,Ethiopia 2017,5.49905061721802,3.21350560943884,3.21350560943884,18.4994729870439, Ethiopian Birr ,6.56103066589657,23.9790765307617,19.7841337972592,23.2552851598609,22.4912340073538,24.8113137458732,22.8670031849203,24.1084311971152,24.0950998774189,24.6568962191107,23.6151335306502,22.2816127179049,22.4335856466623,23.3308091819347,25.0024688181409,21.9031280458521,23.1492209288781,25.058442825967,25.0644012831828,4.51
Ethiopia,2018,Ethiopia 2018,5.22011184692383,3.34742334927819,3.34742334927819,18.5262061970073, Ethiopian Birr ,6.5792512120101,23.9437688500655,19.6676640566541,23.5274935269044,22.6277218776027,24.8323573370456,22.8300730442056,24.033890032702,24.0211096333846,24.6873009395105,23.6306792097467,22.2653564919135,22.40738172241,23.3840979487217,25.0559326839087,21.8298483878541,23.1974634368384,25.1034309815096,25.1079180781592,4.4886994
Ethiopia,2020,Ethiopia 2020,4.09056520462036,3.5814937057227,3.5814937057227,18.5793148894385, Ethiopian Birr ,6.71052310945243,24.2600791257847,19.5344391554695,23.5107146704733,22.6528248016009,25.0605384874584,22.9004145667185,24.1092188394265,24.0988567680821,24.9380195706209,23.5149715424136,22.35723204252,22.52867298055,23.5308400004787,25.2479136212704,22.1138745008139,23.4311301855124,25.288370104704,25.2939589243497,4.3491125
Finland,2010,Finland 2010,6.50444984436035,0.562494470265018,0.562494470265018,15.4950847945607, Euro ,10.7592424086558,22.519590818511,NA,23.3771941850935,25.284708281171,25.9702899091122,24.8011701876014,24.7294793204923,24.7422705267859,25.5984631601552,25.2485445725393,24.4676645542599,24.6545383682089,25.3383863537976,26.1077608997401,23.8149107855407,23.9052257664215,26.2526949244618,26.2407187334151,12.208893
Finland,2017,Finland 2017,6.36311006546021,0.63403683776909,0.63403683776909,15.5217377376316, Euro ,10.745851834242,22.5017136051529,21.1972656171842,23.4852581151519,25.2875583807409,25.9911239960149,24.7881026102303,24.840241032967,24.8137180391375,25.6359207226898,25.2863337417907,24.3832578495597,24.5637608933708,25.3772261871135,26.1214285384687,23.8709776800868,23.9051282707645,26.2684432814299,26.2684432814299,12.05
