Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2017 [YR2017],2018 [YR2018],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kyrgyz Republic,KGZ,5.81883239746094,6.02618980407715,5.55267000198364,6.61971664428711
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lao PDR,LAO,1.70978999137878,2.4979727268219,2.33501219749451,1.91597270965576
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latvia,LVA,5.03881978988647,4.36671018600464,4.24356985092163,4.85059022903442
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lebanon,LBN,1.61330997943878,2.13748621940613,2.52722072601318,1.66996812820435
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lesotho,LSO,..,7.23117733001709,7.40291881561279,6.99799251556396
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Liberia,LBR,..,2.24632501602173,2.41389799118042,2.13601422309875
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Libya,LBY,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Liechtenstein,LIE,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lithuania,LTU,5.29786014556885,3.81220006942749,3.89289999008179,4.50859022140503
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Luxembourg,LUX,5.02103185653687,3.48645997047424,3.66211009025574,3.85349988937378
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Macao SAR, China",MAC,2.61848998069763,2.70949006080627,2.7334098815918,6.38948011398315
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Madagascar,MDG,2.58523440361023,2.70137405395508,3.04906916618347,3.25443387031555
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malawi,MWI,2.43236994743347,3.57505488395691,3.32295989990234,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malaysia,MYS,4.96645021438599,4.18488502502441,4.13194847106934,4.51888704299927
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Maldives,MDV,3.63328003883362,3.8226854801178,3.85681772232056,5.84760808944702
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mali,MLI,3.34388995170593,3.78976988792419,3.55817008018494,3.95445990562439
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Malta,MLT,6.25004005432129,4.56079006195068,4.92361116409302,5.6448712348938
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Marshall Islands,MHL,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mauritania,MRT,..,..,..,1.802649974823
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mauritius,MUS,3.55147004127502,4.87887001037598,4.67447996139526,4.35243988037109
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mexico,MEX,4.93695020675659,4.39752006530762,4.13945007324219,4.50059986114502
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Micronesia, Fed. Sts.",FSM,..,12.4160003662109,9.69699954986572,10.5389995574951
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Moldova,MDA,7.5922999382019,5.71016979217529,5.53887987136841,6.6012601852417
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Monaco,MCO,1.31735002994537,1.45792996883392,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mongolia,MNG,4.64510011672974,4.31822395324707,3.99742722511292,4.66345500946045
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Montenegro,MNE,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Morocco,MAR,..,4.73564958572388,4.96022701263428,6.28428268432617
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Mozambique,MOZ,5.39052867889404,5.48664999008179,5.38976001739502,6.64256286621094
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Myanmar,MMR,..,2.16652989387512,1.99249005317688,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Namibia,NAM,8.24330043792725,9.70867252349854,8.88112258911133,9.27799892425537
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Nauru,NRU,..,6.81056642532349,..,6.09919404983521
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Nepal,NPL,3.63172006607056,3.52892374992371,3.66440558433533,4.21106672286987
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Netherlands,NLD,5.48908996582031,5.17509984970093,5.35764980316162,5.42381000518799
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,New Caledonia,NCL,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,New Zealand,NZL,6.59741258621216,5.28000020980835,5.19308996200562,5.65149021148682
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Nicaragua,NIC,4.48424005508423,4.35767984390259,3.57310891151428,4.58156108856201
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Niger,NER,2.7219500541687,2.57818007469177,3.44956994056702,3.81920099258423
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Nigeria,NGA,0.496685653924942,0.396354019641876,0.419998496770859,0.359637647867203
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,North Macedonia,MKD,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Northern Mariana Islands,MNP,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Norway,NOR,6.71042013168335,7.84598016738892,7.59563016891479,8.3728199005127
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Oman,OMN,..,5.99594020843506,4.58565998077393,6.87769985198975
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pakistan,PAK,2.05268001556396,2.13665676116943,2.33216953277588,2.05718231201172
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Palau,PLW,..,..,..,3.47118067741394
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Panama,PAN,..,3.49375009536743,3.4535698890686,4.30284023284912
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Papua New Guinea,PNG,..,1.96493005752563,1.8748300075531,1.49800002574921
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Paraguay,PRY,2.7707200050354,3.09062075614929,3.29619598388672,3.93615007400513
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Peru,PER,2.86730003356934,3.93130993843079,3.71392011642456,4.25937986373901
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Philippines,PHL,..,3.9638409614563,3.85502767562866,3.85829043388367
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Poland,POL,5.10705995559692,4.57464981079102,4.60506010055542,4.85265016555786
